Date,Open,High,Low,Close,Volume
10/5/10,1140.68,1162.76,1140.68,1160.75,2260466667
10/6/10,1159.81,1162.33,1154.85,1159.97,2262866667
10/7/10,1161.57,1163.87,1151.41,1158.06,2172527778
10/8/10,1158.36,1167.73,1155.58,1165.15,2150788889
10/11/10,1165.32,1168.68,1162.02,1165.32,1392166667
10/12/10,1164.28,1172.58,1155.71,1169.77,2264538889
10/13/10,1171.32,1184.38,1171.32,1178.1,2760783333
10/14/10,1177.82,1178.89,1166.71,1173.81,2760783333
10/15/10,1177.47,1181.2,1167.12,1176.19,3180505556
10/18/10,1176.83,1185.53,1174.55,1184.71,2472250000
10/19/10,1178.64,1178.64,1159.71,1165.9,3111177778
10/20/10,1166.74,1182.94,1166.74,1178.17,2793266667
10/21/10,1179.82,1189.43,1171.17,1180.26,2569705556
10/22/10,1180.52,1183.93,1178.99,1183.08,1765494444
10/25/10,1184.74,1196.14,1184.74,1185.62,2345211111
10/26/10,1184.88,1187.11,1177.72,1185.64,2335377778
10/27/10,1183.84,1183.84,1171.7,1182.45,2408705556
10/28/10,1184.47,1189.53,1177.1,1183.78,2379700000
10/29/10,1183.87,1185.46,1179.7,1183.26,1965488889
11/1/10,1185.71,1195.81,1177.65,1184.38,2293988889
11/2/10,1187.86,1195.88,1187.86,1193.57,2147888889
11/3/10,1193.79,1198.3,1183.56,1197.96,2591933333
11/4/10,1198.34,1221.25,1198.34,1221.06,3164150000
11/5/10,1221.2,1227.08,1220.29,1225.85,3131922222
11/8/10,1223.24,1224.57,1217.55,1223.25,2187350000
11/9/10,1223.59,1226.84,1208.94,1213.4,2693355556
11/10/10,1213.14,1218.75,1204.33,1218.71,2534055556
11/11/10,1213.04,1215.45,1204.49,1213.54,2183955556
11/12/10,1209.07,1210.5,1194.08,1199.21,2340900000
11/15/10,1200.44,1207.43,1197.15,1197.75,1946316667
11/16/10,1194.79,1194.79,1173,1178.34,2842433333
11/17/10,1178.33,1183.56,1175.82,1178.59,2169322222
11/18/10,1183.75,1200.29,1183.75,1196.69,2604033333
11/19/10,1196.12,1199.97,1189.44,1199.73,2041883333
11/22/10,1198.07,1198.94,1184.58,1197.84,2049722222
11/23/10,1192.51,1192.51,1176.91,1180.73,2296150000
11/24/10,1183.7,1198.62,1183.7,1198.35,1880138889
11/26/10,1194.16,1194.16,1186.93,1189.4,896566667
11/29/10,1189.08,1190.34,1173.64,1187.76,2040805556
11/30/10,1182.96,1187.4,1174.14,1180.55,2380388889
12/1/10,1186.6,1207.61,1186.6,1206.07,2526727778
12/2/10,1206.81,1221.89,1206.81,1221.53,2761555556
12/3/10,1219.93,1225.57,1216.82,1224.71,2075433333
12/6/10,1223.87,1225.8,1220.67,1223.12,1959650000
12/7/10,1227.25,1235.05,1223.25,1223.75,3872572222
12/8/10,1225.02,1228.93,1219.5,1228.28,2559772222
12/9/10,1230.14,1234.71,1226.85,1233,2512505556
12/10/10,1233.85,1240.4,1232.58,1240.4,2526283333
12/13/10,1242.52,1246.73,1240.34,1240.46,2422911111
12/14/10,1241.84,1246.59,1238.17,1241.59,2295750000
12/15/10,1241.58,1244.25,1234.01,1235.23,2448522222
12/16/10,1236.34,1243.75,1232.85,1242.87,2631566667
12/17/10,1243.63,1245.81,1239.87,1243.91,2573594444
12/20/10,1245.76,1250.2,1241.51,1247.08,1971188889
12/21/10,1249.43,1255.82,1249.43,1254.6,1933150000
12/22/10,1254.94,1259.39,1254.94,1258.84,714216667
12/23/10,1257.53,1258.59,1254.05,1256.77,1397233333
12/27/10,1254.66,1258.43,1251.48,1257.54,1106927778
12/28/10,1259.1,1259.9,1256.22,1258.51,1376916667
12/29/10,1258.78,1262.6,1258.78,1259.78,1230211111
12/30/10,1259.44,1261.09,1256.32,1257.88,1094844444
12/31/10,1256.76,1259.34,1254.19,1257.64,999872222
1/3/11,1257.62,1276.17,1257.62,1271.87,2381483333
1/4/11,1272.95,1274.12,1262.66,1270.2,2664677778
1/5/11,1268.78,1277.63,1265.36,1276.56,2647177778
1/6/11,1276.29,1278.17,1270.43,1273.85,2691166667
1/7/11,1274.41,1276.83,1261.7,1271.5,2757283333
1/10/11,1270.84,1271.52,1262.18,1269.75,2242472222
1/11/11,1272.58,1277.25,1269.62,1274.48,2250416667
1/12/11,1275.65,1286.87,1275.65,1285.96,2348300000
1/13/11,1285.78,1286.7,1280.47,1283.76,2394911111
1/14/11,1282.9,1293.24,1281.24,1293.24,2589772222
1/18/11,1293.22,1296.06,1290.16,1295.02,2936105556
1/19/11,1294.52,1294.6,1278.92,1281.92,2635394444
1/20/11,1280.85,1283.35,1271.26,1280.26,2741844444
1/21/11,1283.63,1291.21,1282.07,1283.35,2741844444
1/24/11,1283.29,1291.93,1282.47,1290.84,2168038889
1/25/11,1288.17,1291.26,1281.07,1291.18,2552988889
1/26/11,1291.97,1299.74,1291.97,1296.63,2628322222
1/27/11,1297.51,1301.29,1294.41,1299.54,2393994444
